 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2008
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
".....  ESTRELA DO INDAIA";-;1;-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  DORES DO INDAIA";-;20;39;52;51;38;31;50;40;40;30;29;16;27;45;27;17;16;19;15;3;-;-;6;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;617
".....  LUZ";-;-;-;-;-;1;-;-;-;1;2;1;1;4;3;11;7;3;2;12;10;1;4;10;2;-;1;1;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81
".....  MARTINHO CAMPOS";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;2;-;1;-;2;-;1;2;5;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;21
"31030 Formiga";-;-;2;2;-;2;-;1;1;-;2;3;-;11;18;12;17;10;5;4;4;6;6;3;3;4;-;2;2;4;-;-;3;-;4;3;1;2;7;5;1;1;2;6;-;3;3;4;6;2;1;2;-;4;184
".....  BAMBUI";-;-;-;-;-;-;-;-;-;-;-;-;-;7;9;7;6;3;4;1;4;4;-;1;-;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;54
".....  CORREGO DANTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  FORMIGA";-;-;2;2;-;2;-;1;1;-;2;3;-;3;9;5;8;7;1;2;-;1;3;1;2;2;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;1;1;-;-;-;1;68
".....  CORREGO FUNDO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
".....  MEDEIROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
".....  PAINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;3;-;4;3;1;2;7;5;1;1;-;6;-;3;1;3;4;1;-;1;-;2;54
"31031 Itaúna";-;1;1;3;1;1;2;-;-;1;3;-;1;4;8;13;5;4;18;9;4;3;2;2;1;-;3;-;1;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;96
".....  ITAUNA";-;1;-;1;-;1;1;-;-;1;3;-;-;2;7;11;3;2;11;7;4;3;1;2;-;-;2;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;68
".....  ITAGUARA";-;-;1;1;-;-;1;-;-;-;-;-;-;2;1;2;2;2;2;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  ITATIAIUCU";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  PIRACEMA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31032 Pará de Minas/Nova Serrana";-;2;2;1;2;3;-;3;5;3;7;4;5;22;35;49;28;35;29;16;23;13;9;11;8;10;4;7;2;1;2;-;1;-;1;3;-;-;-;-;1;-;2;2;-;-;-;3;4;2;-;1;-;1;362
".....  PITANGUI";-;-;-;-;1;-;-;2;1;1;-;-;-;3;12;21;12;18;15;5;9;4;2;9;2;6;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;128
".....  LEANDRO FERREIRA";-;-;-;-;-;-;-;-;-;1;3;1;2;5;-;3;1;-;1;2;2;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;29
".....  NOVA SERRANA";-;-;2;1;-;2;-;1;3;1;3;3;2;7;16;12;6;8;8;4;4;3;-;1;2;2;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96
".....  PARA DE MINAS";-;-;-;-;-;-;-;-;-;-;1;-;1;7;7;9;8;9;2;4;5;3;2;1;4;2;3;4;1;-;-;-;1;-;-;2;-;-;-;-;1;-;1;1;-;-;-;1;3;2;-;1;-;-;86
".....  SAO JOSE DA VARGINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CONCEICAO DO PARA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ONCA DE PITANGUI";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  IGARATINGA";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;4;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;13
"31034 Caratinga";-;4;3;9;7;4;-;2;6;10;6;10;2;9;13;7;15;12;11;15;6;2;-;-;-;4;-;2;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;1;53;2;102;20;1;-;-;342
".....  VERMELHO NOVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PIEDADE DE CARATINGA";-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  ENTRE FOLHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  CARATINGA";-;-;-;1;-;3;-;2;6;8;3;9;2;7;9;4;13;7;8;13;6;2;-;-;-;4;-;1;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;1;1;-;1;-;1;-;-;116
".....  BOM JESUS DO GALHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;100;19;-;-;-;170
".....  SANTA RITA DE MINAS";-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  INHAPIM";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  UBAPORANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  VARGEM ALEGRE";-;4;3;8;7;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;-;-;-;29
".....  SAO DOMINGOS DAS DORES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"31035 Coronel Fabriciano/Timóteo";-;2;10;10;9;11;9;12;9;12;14;12;19;87;190;202;232;182;126;237;211;132;115;106;92;52;52;26;21;2;5;6;5;7;6;6;4;3;4;2;5;2;8;9;8;4;2;9;6;10;16;14;9;13;2357
".....  PINGO-D'AGUA";-;-;1;-;-;-;-;-;-;-;-;1;-;2;10;4;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
".....  CORONEL FABRICIANO";-;2;7;9;7;11;8;12;9;9;12;7;15;60;101;102;117;110;94;175;154;87;81;85;70;42;43;21;16;2;5;6;5;5;5;6;4;3;3;2;4;1;7;6;7;3;2;7;3;5;11;10;8;11;1597
".....  JAGUARACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  MARLIERIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  ANTONIO DIAS";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;8;3;4;2;1;1;3;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;29
".....  DIONISIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
".....  TIMOTEO";-;-;2;-;1;-;1;-;-;3;2;4;4;25;73;88;109;65;30;61;55;39;34;21;22;9;8;5;4;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;1;-;-;2;2;5;5;4;1;2;692
"31036 Governador Valadares";-;8;11;17;15;9;11;16;18;29;27;20;33;104;141;205;175;133;84;77;72;88;38;47;22;36;16;15;9;14;6;4;2;5;2;9;7;8;20;29;31;36;42;43;40;59;45;51;88;49;29;40;22;26;2183
".....  DIVINOLANDIA DE MINAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  MATHIAS LOBATO";-;-;-;1;-;-;-;-;-;-;-;-;-;3;3;3;8;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
".....  ITANHOMI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;14;33
".....  VIRGOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SAO JOSE DA SAFIRA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
".....  FERNANDES TOURINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO GERALDO DA PIEDADE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
".....  GOVERNADOR VALADARES";-;5;11;16;11;9;11;14;18;27;27;20;28;72;89;107;107;96;60;45;43;58;32;41;17;33;10;10;7;10;1;3;2;4;2;6;3;6;2;3;4;-;6;1;1;6;5;10;11;4;12;8;6;7;1147
".....  SOBRALIA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;7
".....  GALILEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;5;1;-;2;-;2;-;-;-;1;-;3;4;1;18;24;27;36;36;42;39;49;39;19;24;23;8;10;10;2;428
".....  ENGENHEIRO CALDAS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CAPITAO ANDRADE";-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;4;1;4;3;14;6;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;22;51;22;9;11;4;1;175
".....  SANTA EFIGENIA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  JAMPRUCA";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;8;3;-;-;2;6;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
".....  MARILAC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3
".....  COROACI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  TUMIRITINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
".....  TARUMIRIM";-;3;-;-;1;-;-;-;-;-;-;-;-;-;5;2;3;3;1;-;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
".....  ALPERCATA";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
".....  FREI INOCENCIO";-;-;-;-;-;-;-;-;-;-;-;-;2;21;31;82;46;29;15;24;12;14;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;280
"31037 Ipatinga";-;12;11;41;86;44;9;27;26;37;26;29;37;140;231;265;367;211;106;166;123;49;57;57;26;21;19;5;8;4;2;1;3;2;4;1;1;1;1;-;-;-;-;3;2;1;1;4;2;9;4;5;2;1;2290
".....  BRAUNAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;1;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  PERIQUITO";-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;1;1;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  ACUCENA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  MESQUITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  SANTANA DO PARAISO";-;-;-;3;1;-;-;3;1;2;1;1;2;1;6;7;5;1;-;1;1;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;42
".....  IPATINGA";-;2;5;5;3;5;5;7;7;17;14;23;28;121;180;218;320;177;89;143;104;45;42;50;19;15;14;4;8;4;2;1;3;1;3;-;1;1;1;-;-;-;-;3;2;1;1;4;2;6;3;4;1;1;1715
".....  SAO JOAO DO ORIENTE";-;10;6;33;82;38;4;16;18;18;10;3;3;13;4;6;3;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;269
".....  IAPU";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3;3;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  IPABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;9;16;2;1;6;2;1;2;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;68
".....  NAQUE";-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;7;5;12;2;5;8;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51
".....  JOANESIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;6;3;-;-;-;2;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  BELO ORIENTE";-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;8;9;6;4;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;42
".....  BUGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  DOM CAVATI";-;-;-;-;-;-;-;-;-;-;1;-;1;4;2;1;-;2;2;-;5;1;7;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"31038 Mantena";-;-;-;1;-;2;3;11;31;51;34;67;28;155;259;318;189;146;101;80;69;18;42;24;28;7;15;7;2;5;5;1;-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;1;4;3;4;2;2;1721
".....  SAO JOAO DO MANTENINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;3;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  MENDES PIMENTEL";-;-;-;-;-;-;1;8;10;36;15;2;-;29;23;3;6;5;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142
".....  MANTENA";-;-;-;1;-;2;2;3;19;15;18;42;28;114;216;252;175;136;98;79;55;12;40;23;28;7;15;7;2;5;5;1;-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;4;2;2;1;2;1417
".....  SAO FELIX DE MINAS";-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
".....  ITABIRINHA";-;-;-;-;-;-;-;-;-;-;-;23;-;-;6;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;87
".....  DIVINO DAS LARANJEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  NOVA BELEM";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CENTRAL DE MINAS";-;-;-;-;-;-;-;-;-;-;1;-;-;9;3;4;4;4;-;-;12;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
"31040 Resplendor";-;-;2;4;1;3;1;4;40;170;51;107;82;243;121;173;148;90;67;103;81;32;36;20;2;20;20;14;11;4;1;1;1;4;12;3;2;1;1;1;-;-;-;-;2;5;4;2;1;9;10;13;4;2;1729
".....  SANTA RITA DO ITUETO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CONSELHEIRO PENA";-;-;-;-;-;-;-;1;30;142;7;16;2;42;47;73;62;51;26;41;28;10;10;5;1;2;6;6;7;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;5;4;1;1;6;2;1;2;-;641
".....  CUPARAQUE";-;-;-;-;1;-;-;-;1;-;-;-;1;2;-;1;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;9;1;-;31
".....  GOIABEIRA";-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;2;-;-;4;5;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
".....  AIMORES";-;-;2;4;-;1;1;3;8;23;20;23;46;89;43;60;42;30;23;27;34;17;15;7;-;17;10;7;4;3;-;-;1;2;12;1;1;1;1;1;-;-;-;-;1;-;-;1;-;-;-;3;-;2;586
".....  RESPLENDOR";-;-;-;-;-;1;-;-;-;-;3;6;4;12;5;3;8;6;8;22;16;5;9;8;1;1;4;1;-;-;1;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;129
".....  ITUETA";-;-;-;-;-;1;-;-;1;5;20;61;28;97;25;34;36;1;5;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;320
"31041 Além Paraíba";-;1;3;2;-;-;1;8;14;48;87;109;110;177;165;145;119;124;59;50;49;24;17;7;5;6;7;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;2;-;-;-;-;1;1349
".....  VOLTA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  ESTRELA DALVA";-;-;-;-;-;-;-;-;-;-;6;3;16;20;18;21;24;15;7;7;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145
".....  ALEM PARAIBA";-;1;3;2;-;-;1;8;12;48;78;103;90;152;144;116;86;99;46;40;40;20;15;7;5;6;7;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;2;-;-;-;-;1;1141
".....  SANTO ANTONIO DO AVENTUREIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  PIRAPETINGA";-;-;-;-;-;-;-;-;2;-;3;3;1;3;3;8;8;8;6;3;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
"31042 Carangola";-;-;-;1;1;-;-;-;-;1;1;1;3;3;7;6;23;10;11;5;17;12;14;8;9;1;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;142
".....  ORIZANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
".....  TOMBOS";-;-;-;-;-;-;-;-;-;1;1;1;1;1;2;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  DIVINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  PEDRA BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CARANGOLA";-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;2;14;10;9;5;16;12;13;8;9;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111
